EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
735834,IBERIA PAR.,CADE,01/27/2018,932,Flash Flood, , ,0,0,5000,0,LA,CST-6, ,122798,C,45,LCH,0,0,Public,Heavy Rain, , ,5,SW,17,WSW,CADE,01/27/2018,1000,30.0344,-91.9663,29.9843,-92.1546,"Pictures posted to social media indicated street flooding in New Iberia and in Coteau. Water was almost knee deep in spots on some streets.","A short wave and incoming cold front provided lift of a very moist air mass. Training of showers and storms produced heavy rain ahead of a cold front. Strong north winds behind the front pushed tides below normal for a few days.",1
735835,VERMILION PAR.,PERRY,01/27/2018,936,Flash Flood, , ,0,0,5000,0,LA,CST-6, ,122798,C,113,LCH,0,0,Public,Heavy Rain, , ,1,ESE,11,E,DELCAMBRE,01/27/2018,1000,29.9472,-92.1575,29.9589,-91.8207,"Pictures posted to social media indicated street flooding around Abbeville. The flooding occurred after a few hours of heavy rain.","A short wave and incoming cold front provided lift of a very moist air mass. Training of showers and storms produced heavy rain ahead of a cold front. Strong north winds behind the front pushed tides below normal for a few days.",2
735631,CALCASIEU PAR.,GED,01/27/2018,1034,Flash Flood, , ,0,0,15000,0,LA,CST-6, ,122798,C,19,LCH,0,0,Public,Heavy Rain, , ,2,NW,3,SSW,CHENNAULT INDUS AIRP,01/27/2018,1134,30.1354,-93.599,30.1775,-93.1615,"Three to 6 inches of rain fell over a few hours from near Vinton to Lake Charles. Several streets were flooded in the area. One mobile home was reported flooded.","A short wave and incoming cold front provided lift of a very moist air mass. Training of showers and storms produced heavy rain ahead of a cold front. Strong north winds behind the front pushed tides below normal for a few days.",3
731718,EAST BATON ROUGE PAR.,UNIVERSITY,01/27/2018,1120,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122232,C,33,LIX,0,0,Emergency Manager,Heavy Rain, , ,0,S,2,E,JONES CREEK,01/27/2018,1600,30.4135,-91.18,30.4221,-90.979,"Street flooding was reported on the south side of Baton Rouge. Some streets with high water were barricaded near Sherwood, and along interstate service roads.","An upper level trough moving across the Lower Mississippi River Valley produced an area of rain and slow moving thunderstorms across southeast Louisiana. Several thunderstorms with very heavy rain moved across East Baton Rouge Parish, producing a few reports of flash flooding.",4
731719,EAST BATON ROUGE PAR.,ESSEN,01/27/2018,1245,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122232,C,33,LIX,0,0,State Official,Heavy Rain, , ,1,WSW,2,SSW,MAGNOLIA WOODS,01/27/2018,1500,30.3904,-91.1188,30.3948,-91.1311,"The Louisiana State Climatologist reported that Dawson Creek at Perkins Road Community Park was out of its banks due to heavy rainfall.","An upper level trough moving across the Lower Mississippi River Valley produced an area of rain and slow moving thunderstorms across southeast Louisiana. Several thunderstorms with very heavy rain moved across East Baton Rouge Parish, producing a few reports of flash flooding.",5
731722,EAST BATON ROUGE PAR.,PUCKETT,01/27/2018,1510,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122232,C,33,LIX,0,0,Trained Spotter,Heavy Rain, , ,1,SSW,1,SSE,PUCKETT,01/27/2018,1700,30.5524,-91.055,30.5548,-91.0428,"A trained spotter reported a home flooded in the 12500 block of Hooper Road in Central.","An upper level trough moving across the Lower Mississippi River Valley produced an area of rain and slow moving thunderstorms across southeast Louisiana. Several thunderstorms with very heavy rain moved across East Baton Rouge Parish, producing a few reports of flash flooding.",6
732872,CADDO PAR.,SHREVEPORT,02/21/2018,920,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122412,C,17,SHV,0,0,Public,Heavy Rain, , ,1,SE,1,SE,SHREVEPORT,02/21/2018,1100,32.4719,-93.7418,32.4719,-93.7416,"High water covered Creswell Avenue near Dudley Drive.","An upper level low pressure system progressed east southeast from the Pacific Northwest into the Central and Southern Rockies on the morning of February 20th, reinforcing a cold front slowly southeast into East Texas and North Louisiana during the morning and afternoon hours on February 21st. A deep southwest flow aloft was present along and behind the front across the Southern Plains and Mississippi Valley, with weak embedded disturbances in the flow helping to enhance the development of scattered to numerous showers and thunderstorms along and behind the front on the 21st. A warm, moist, and weakly unstable air mass had already spread north ahead of the front into Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana, with the southwest flow aloft tapping into the subtropical jet, thus transporting Pacific moisture northeast along and behind the front. Periods of moderate to at times, heavy rainfall fell along and behind the front across North Louisiana, and persisted through the early morning hours on the 23rd before diminishing. Widespread rainfall amounts of four to in excess of eight inches fell across North Louisiana from the morning hours of February 21st through the early morning hours on the 23rd. This resulted in periods of widespread flash flooding across much of North Louisiana during this 3 day period. In addition, isolated severe thunderstorms developed across the southeast sections of Northcentral Louisiana on February 21st within the warm sector along the front, which produced wind damage across Western La Salle Parish.",7
732873,CADDO PAR.,SHREVEPORT,02/21/2018,1000,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122412,C,17,SHV,0,0,Public,Heavy Rain, , ,1,NW,0,SSW,NICHOLS,02/21/2018,1100,32.4965,-93.764,32.4462,-93.8721,"High water covered multiple roads throughout Shreveport.","An upper level low pressure system progressed east southeast from the Pacific Northwest into the Central and Southern Rockies on the morning of February 20th, reinforcing a cold front slowly southeast into East Texas and North Louisiana during the morning and afternoon hours on February 21st. A deep southwest flow aloft was present along and behind the front across the Southern Plains and Mississippi Valley, with weak embedded disturbances in the flow helping to enhance the development of scattered to numerous showers and thunderstorms along and behind the front on the 21st. A warm, moist, and weakly unstable air mass had already spread north ahead of the front into Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana, with the southwest flow aloft tapping into the subtropical jet, thus transporting Pacific moisture northeast along and behind the front. Periods of moderate to at times, heavy rainfall fell along and behind the front across North Louisiana, and persisted through the early morning hours on the 23rd before diminishing. Widespread rainfall amounts of four to in excess of eight inches fell across North Louisiana from the morning hours of February 21st through the early morning hours on the 23rd. This resulted in periods of widespread flash flooding across much of North Louisiana during this 3 day period. In addition, isolated severe thunderstorms developed across the southeast sections of Northcentral Louisiana on February 21st within the warm sector along the front, which produced wind damage across Western La Salle Parish.",8
732874,GRANT PAR.,MONTGOMERY,02/21/2018,1100,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122412,C,43,SHV,0,0,Law Enforcement,Heavy Rain, , ,3,NW,5,ENE,NEW VERDA,02/21/2018,1330,31.6967,-92.9369,31.7027,-92.6906,"High water covered several roads across the western portions of Grant Parish.","An upper level low pressure system progressed east southeast from the Pacific Northwest into the Central and Southern Rockies on the morning of February 20th, reinforcing a cold front slowly southeast into East Texas and North Louisiana during the morning and afternoon hours on February 21st. A deep southwest flow aloft was present along and behind the front across the Southern Plains and Mississippi Valley, with weak embedded disturbances in the flow helping to enhance the development of scattered to numerous showers and thunderstorms along and behind the front on the 21st. A warm, moist, and weakly unstable air mass had already spread north ahead of the front into Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana, with the southwest flow aloft tapping into the subtropical jet, thus transporting Pacific moisture northeast along and behind the front. Periods of moderate to at times, heavy rainfall fell along and behind the front across North Louisiana, and persisted through the early morning hours on the 23rd before diminishing. Widespread rainfall amounts of four to in excess of eight inches fell across North Louisiana from the morning hours of February 21st through the early morning hours on the 23rd. This resulted in periods of widespread flash flooding across much of North Louisiana during this 3 day period. In addition, isolated severe thunderstorms developed across the southeast sections of Northcentral Louisiana on February 21st within the warm sector along the front, which produced wind damage across Western La Salle Parish.",9
732875,WINN PAR.,JORDON HILL,02/21/2018,1204,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122412,C,127,SHV,0,0,Law Enforcement,Heavy Rain, , ,2,ESE,2,ESE,JORDON HILL,02/21/2018,1345,31.8437,-92.5032,31.8438,-92.4996,"High water covered Highway 472 at Big Creek in Southern Winn Parish.","An upper level low pressure system progressed east southeast from the Pacific Northwest into the Central and Southern Rockies on the morning of February 20th, reinforcing a cold front slowly southeast into East Texas and North Louisiana during the morning and afternoon hours on February 21st. A deep southwest flow aloft was present along and behind the front across the Southern Plains and Mississippi Valley, with weak embedded disturbances in the flow helping to enhance the development of scattered to numerous showers and thunderstorms along and behind the front on the 21st. A warm, moist, and weakly unstable air mass had already spread north ahead of the front into Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana, with the southwest flow aloft tapping into the subtropical jet, thus transporting Pacific moisture northeast along and behind the front. Periods of moderate to at times, heavy rainfall fell along and behind the front across North Louisiana, and persisted through the early morning hours on the 23rd before diminishing. Widespread rainfall amounts of four to in excess of eight inches fell across North Louisiana from the morning hours of February 21st through the early morning hours on the 23rd. This resulted in periods of widespread flash flooding across much of North Louisiana during this 3 day period. In addition, isolated severe thunderstorms developed across the southeast sections of Northcentral Louisiana on February 21st within the warm sector along the front, which produced wind damage across Western La Salle Parish.",10
732876,GRANT PAR.,WILLIANA,02/21/2018,1205,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122412,C,43,SHV,0,0,Law Enforcement,Heavy Rain, , ,1,W,4,E,WILLIANA,02/21/2018,1345,31.6705,-92.5858,31.6749,-92.504,"High water covered several roads across the Central portions of Grant Parish.","An upper level low pressure system progressed east southeast from the Pacific Northwest into the Central and Southern Rockies on the morning of February 20th, reinforcing a cold front slowly southeast into East Texas and North Louisiana during the morning and afternoon hours on February 21st. A deep southwest flow aloft was present along and behind the front across the Southern Plains and Mississippi Valley, with weak embedded disturbances in the flow helping to enhance the development of scattered to numerous showers and thunderstorms along and behind the front on the 21st. A warm, moist, and weakly unstable air mass had already spread north ahead of the front into Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana, with the southwest flow aloft tapping into the subtropical jet, thus transporting Pacific moisture northeast along and behind the front. Periods of moderate to at times, heavy rainfall fell along and behind the front across North Louisiana, and persisted through the early morning hours on the 23rd before diminishing. Widespread rainfall amounts of four to in excess of eight inches fell across North Louisiana from the morning hours of February 21st through the early morning hours on the 23rd. This resulted in periods of widespread flash flooding across much of North Louisiana during this 3 day period. In addition, isolated severe thunderstorms developed across the southeast sections of Northcentral Louisiana on February 21st within the warm sector along the front, which produced wind damage across Western La Salle Parish.",11
732878,BOSSIER PAR.,ADNER,02/21/2018,1300,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122412,C,15,SHV,0,0,Law Enforcement,Heavy Rain, , ,2,NE,2,NE,ADNER,02/21/2018,1430,32.5866,-93.574,32.587,-93.5784,"High water over Winfield Road.","An upper level low pressure system progressed east southeast from the Pacific Northwest into the Central and Southern Rockies on the morning of February 20th, reinforcing a cold front slowly southeast into East Texas and North Louisiana during the morning and afternoon hours on February 21st. A deep southwest flow aloft was present along and behind the front across the Southern Plains and Mississippi Valley, with weak embedded disturbances in the flow helping to enhance the development of scattered to numerous showers and thunderstorms along and behind the front on the 21st. A warm, moist, and weakly unstable air mass had already spread north ahead of the front into Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana, with the southwest flow aloft tapping into the subtropical jet, thus transporting Pacific moisture northeast along and behind the front. Periods of moderate to at times, heavy rainfall fell along and behind the front across North Louisiana, and persisted through the early morning hours on the 23rd before diminishing. Widespread rainfall amounts of four to in excess of eight inches fell across North Louisiana from the morning hours of February 21st through the early morning hours on the 23rd. This resulted in periods of widespread flash flooding across much of North Louisiana during this 3 day period. In addition, isolated severe thunderstorms developed across the southeast sections of Northcentral Louisiana on February 21st within the warm sector along the front, which produced wind damage across Western La Salle Parish.",12
732879,BOSSIER PAR.,LINTON,02/21/2018,1311,Flash Flood, , ,0,0,0,0,LA,CST-6, ,122412,C,15,SHV,0,0,Law Enforcement,Heavy Rain, , ,1,NNW,1,NNW,LINTON,02/21/2018,1430,32.6952,-93.6371,32.6951,-93.6357,"High water over Crouch Road.","An upper level low pressure system progressed east southeast from the Pacific Northwest into the Central and Southern Rockies on the morning of February 20th, reinforcing a cold front slowly southeast into East Texas and North Louisiana during the morning and afternoon hours on February 21st. A deep southwest flow aloft was present along and behind the front across the Southern Plains and Mississippi Valley, with weak embedded disturbances in the flow helping to enhance the development of scattered to numerous showers and thunderstorms along and behind the front on the 21st. A warm, moist, and weakly unstable air mass had already spread north ahead of the front into Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana, with the southwest flow aloft tapping into the subtropical jet, thus transporting Pacific moisture northeast along and behind the front. Periods of moderate to at times, heavy rainfall fell along and behind the front across North Louisiana, and persisted through the early morning hours on the 23rd before diminishing. Widespread rainfall amounts of four to in excess of eight inches fell across North Louisiana from the morning hours of February 21st through the early morning hours on the 23rd. This resulted in periods of widespread flash flooding across much of North Louisiana during this 3 day period. In addition, isolated severe thunderstorms developed across the southeast sections of Northcentral Louisiana on February 21st within the warm sector along the front, which produced wind damage across Western La Salle Parish.",13
